mixture,binding
1,0.971604
1,1.060966
1,1.262621
1,1.332216
1,1.615745
1,1.715665
1,0.622471
1,1.072466
2,0.775981
2,0.561392
2,1.009631
2,0.896019
2,0.836885
2,1.456355
2,1.512179
2,1.892902
2,1.329128
2,1.012957
2,0.965169
2,1.101477
2,0.935602
3,0.833821
3,1.239113
3,1.629643
3,1.179634
3,1.35783
3,1.393859
3,1.350862
4,1.523124
4,1.344451
4,1.201742
5,1.778899
5,1.542747
5,1.229092
5,1.553357
5,1.299781
5,1.977022
5,0.948413
5,1.232976
6,0.858544
6,1.123749
6,1.225506
6,1.040753
6,1.781729
6,1.841923
6,0.570993
7,1.279038
7,1.568403
7,1.627571
7,1.551494
7,1.496391
7,0.87545
7,1.265693
8,2.152303
8,1.343964
8,1.85651
8,1.523317
8,2.122987
8,0.612737
9,0.919073
9,1.011233
9,0.708592
9,1.094447
9,1.795654
9,2.71298
9,0.973867
9,0.946051
10,0.703923
10,0.808113
10,0.781859
10,1.000389
10,1.29456
10,1.29806
10,0.941818
11,0.561287
11,1.192697
11,1.153453
11,0.952805
11,1.161361
11,0.411464
12,0.999254
12,0.931948
12,1.000706
12,0.568387
13,0.962358
13,0.849932
13,0.756953
13,0.84044
13,0.876346
13,0.732552
13,0.646591
14,0.728012
14,0.958501
14,0.802544
14,1.063228
14,0.580064
14,0.560465
15,0.629047
15,0.668165
15,0.818347
15,1.017686
15,0.745831
16,0.599632
16,0.625409
16,0.568387
17,0.924361
17,0.926563
17,0.828343
18,0.989682
18,0.959342
18,0.833231
19,1.377307
19,1.009926
19,0.758137
19,1.052926
19,0.791913
19,1.174451
19,1.108395
19,1.40392
20,0.583248
20,0.73761
20,0.950343
20,0.884447
20,0.652311
