index,mixture,binding
1,'-G,1.050856
1,'-G,1.140944
1,'-G,1.501271
1,'-G,2.015509
1,'-G,2.261402
1,'-G,2.346356
1,'-G,0.873388
2,Unmodfied,0.778227
2,Unmodfied,0.475816
2,Unmodfied,1.045089
2,Unmodfied,0.907829
2,Unmodfied,0.816058
2,Unmodfied,1.75264
2,Unmodfied,1.679735
2,Unmodfied,2.190093
2,Unmodfied,1.414257
2,Unmodfied,0.874058
2,Unmodfied,1.037529
2,Unmodfied,1.149088
2,Unmodfied,0.978639
3,'+G,0.70926
3,'+G,1.015777
3,'+G,1.810857
3,'+G,1.179707
3,'+G,1.458505
3,'+G,1.507409
3,'+G,1.587571
4,'+G+S,1.142711
4,'+G+S,1.216371
4,'+G+S,1.073279
5,'+G+S+ivs,1.454908
5,'+G+S+ivs,1.458885
5,'+G+S+ivs,1.195649
5,'+G+S+ivs,1.618158
5,'+G+S+ivs,1.303683
5,'+G+S+ivs,2.104318
5,'+G+S+ivs,1.046689
6,'+B-G,0.935725
6,'+B-G,3.720475
6,'+B-G,1.480655
6,'+B-G,1.648626
6,'+B-G,1.52284
6,'+B-G,3.086531
6,'+B-G,3.199806
6,'+B-G,0.937703
7,'+B,1.49328
7,'+B,1.657624
7,'+B,2.037268
7,'+B,2.131757
7,'+B,1.909717
7,'+B,1.136188
8,'+B+G,2.360817
8,'+B+G,1.178223
8,'+B+G,2.10242
8,'+B+G,1.812337
8,'+B+G,2.863995
9,'+B+G+S,0.795774
9,'+B+G+S,0.911444
9,'+B+G+S,1.104794
9,'+B+G+S,0.693058
9,'+B+G+S,1.226408
9,'+B+G+S,2.041175
9,'+B+G+S,3.401854
9,'+B+G+S,0.990919
9,'+B+G+S,0.990469
10,'+B+G+S+ivs,0.71377
10,'+B+G+S+ivs,0.856786
10,'+B+G+S+ivs,0.77437
10,'+B+G+S+ivs,1.102282
10,'+B+G+S+ivs,1.452781
10,'+B+G+S+ivs,1.536424
10,'+B+G+S+ivs,1.200011
11,'-F-G,1.16911
11,'-F-G,1.696781
11,'-F-G,1.930931
11,'-F-G,1.630556
11,'-F-G,2.146265
11,'-F-G,0.818844
12,'-F,1.39584
12,'-F,1.652195
12,'-F,1.655434
12,'-F,1.077407
13,'-F+G,1.134419
13,'-F+G,1.119679
13,'-F+G,0.966978
13,'-F+G,1.074817
13,'-F+G,1.168628
13,'-F+G,1.124991
13,'-F+G,0.774699
14,'-F+G+S,1.813924
14,'-F+G+S,0.918251
14,'-F+G+S,1.229175
14,'-F+G+S,1.118229
14,'-F+G+S,1.538747
14,'-F+G+S,0.686324
14,'-F+G+S,0.693844
15,'-F+G+S+ivs,0.799392
15,'-F+G+S+ivs,0.877676
15,'-F+G+S+ivs,1.127974
15,'-F+G+S+ivs,1.510402
15,'-F+G+S+ivs,1.279585
16,'-F+B-G,1.157661
16,'-F+B-G,1.195524
16,'-F+B-G,1.077407
17,'-F+B,1.766479
17,'-F+B,1.719531
17,'-F+B,1.502762
18,'-F+B+G,1.463221
18,'-F+B+G,1.421278
18,'-F+B+G,1.277496
19,'-F+B+G+S,2.003705
19,'-F+B+G+S,1.489742
19,'-F+B+G+S,1.155179
19,'-F+B+G+S,1.594543
19,'-F+B+G+S,1.168264
19,'-F+B+G+S,1.693166
19,'-F+B+G+S,1.531731
19,'-F+B+G+S,2.043446
20,'-F+B+G+S+ivs,0.781089
20,'-F+B+G+S+ivs,1.052545
20,'-F+B+G+S+ivs,1.484431
20,'-F+B+G+S+ivs,1.292289
20,'-F+B+G+S+ivs,1.075562
