Unmodfied,'-F,'-F+B,'-F+B-G,'-F+B+G,'-F+B+G+S,'-F+B+G+S+ivs,'-F-G,'-F+G,'-F+G+S,'-F+G+S+ivs,'+B-G,'+B,'+B+G,'+B+G+S,'+B+G+S+ivs,'-G,'+G,'+G+S,'+G+S+ivs
,,,,,,,3.254830,0.871565,1.801876,,0.642279,,,,,,,,
0.923299*,,,,,,,,,,,,2.168956,,,,1.267875,0.607718,,
,,,,,3.313093,,2.417100,,,,,,1.857114,0.958002,,,,,
,,,,,,1.006960,,,,0.824408,,,,,,,,,1.161967
0.491438*,,,,,1.495689,1.578875,,,0.989843,1.305536,2.150166,2.102291,3.268315,0.630225,0.646393,2.128275,2.168660,,1.579454
,,,,,1.038053,1.230888,2.008212,,1.143428,1.571701,1.914330,2.258136,1.910205,1.188611,1.007029,2.090143,1.037374,,1.259058
,,,,,1.630841,,3.251808,1.303279,1.390498,,4.845805,1.734694,,1.836566,1.320287,2.825674,1.698764,,2.002586
,,,,,,,,1.221299,,,,,,4.325865,1.583151,2.942680,,,
0.710203*,,,,,,,,,,,,,,,,,,,
1.934495*,,,,,,0.759273,,,,1.453063,,,,1.409598,,,1.288836,,
1.815660*,,,,,0.711296,,0.865802,,,,,1.121438,,,,1.290642,1.063876,,0.895061
2.252291*,,,,,1.762467*,,,0.597150,0.568862,,,,,,1.282871,,,,
1.039125*,1.413432,1.889291,,,1.634955*,,,,,,,,,0.704490,,,,,
,1.733005,1.611461,,,2.355303*,,,,,,,,,,,,,,
,1.492425,1.452377,1.247491,1.604162,,,,,,,,,,,,,,0.996347,
,1.004773,,1.126815,1.388312,,,,,,,,,,,,,,1.137369,
,,,1.004773,1.324657,,,,,,,,,,,,,,1.019768,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
0.896397,,,,,,,,,,,,,,,,,,,
1.087508,,,,,,,,,,,,,,,,,,,
1.031687,,,,,,,,,,,,,,,,,,,
1.004417,,,,,,,,,,,,,,,,,,,
