'-G,Unmodfied,'+G,'+G+S,'+G+S+ivs,'+B-G,'+B,'+B+G,'+B+G+S,'+B+G+S+ivs,'-F-G,'-F,'-F+G,'-F+G+S,'-F+G+S+ivs,'-F+B-G,'-F+B,'-F+B+G,'-F+B+G+S,'-F+B+G+S+ivs
1.682392,1.263604,1.276081,,1.12812,1.621648,1.416348,,0.918603,,9.576408,,20.68058,18.40483,5.45922,,,,13.28665,9.829262
1.338557,0.770563,0.928768,,1.881835,2.805458,1.419592,3.42924,1.044321,1.134574,,,19.81456,11.87594,23.50314,,,,15.96366,20.82154
1.776517,0.55371,1.096201,,,2.286529,1.440371,1.265554,1.561963,1.44823,11.49788,,29.55078,23.28812,,,,,28.50117,
,0.870477,,,1.768289,,,,,,13.88551,,24.71538,,26.11491,,,,,21.95585
2.740312,0.758442,2.823055,,2.395405,3.390528,2.837948,3.493899,1.387879,1.281608,,,30.10312,40.86164,24.19289,,,,29.30577,16.0522
1.95072,,1.498567,,1.401151,1.874509,1.835966,1.937698,1.376741,1.605377,13.38483,,,18.87361,21.13477,,,,16.95621,15.79644
2.329092,1.043602,1.640381,,2.211469,2.898525,1.668504,,2.279886,1.505888,10.32388,,27.84931,21.1793,,,,,18.61118,
2.347059,,,,,2.662309,,1.986357,2.820102,1.517572,,,19.49709,,,,,,,
,,,,,,,,,,,,,17.77492,,,,,,
,1.482779,2.117049,,,,,,1.244935,,,,,,14.31915,,,,,15.40531
1.256939,1.592037,2.034249,,1.768511,1.562938,1.610952,1.201356,,,5.553144,,,,,,,,18.73395,
1.727869,1.753552,,,1.556159,,1.926038,,,1.598399,,,17.85045,16.87259,,,,,29.67876,
,1.239856,,,,,,,1.65287,,,23.21561,,,,,26.87904,,31.00998,
,,,,,,,,,,,24.26554,,,,,24.02597,,42.82603,
,,,1.579342,,,,,,,,22.68199,,,,17.98352,23.75853,33.90617,,
,,,1.47747,,,,,,,,16.09997,,,,16.82991,,29.729,,
,,,1.511892,,,,,,,,,,,,16.09997,,30.63782,,
,0.933256,,,,,,,,,,,,,,,,,,
,0.927781,,,,,,,,,,,,,,,,,,
,1.065279,,,,,,,,,,,,,,,,,,
,1.096587,,,,,,,,,,,,,,,,,,
