'-G,Unmodfied,'+G,'+G+S,'+G+S+ivs,'+B-G,'+B,'+B+G,'+B+G+S,'+B+G+S+ivs,'-F-G,'-F,'-F+G,'-F+G+S,'-F+G+S+ivs,'-F+B-G,'-F+B,'-F+B+G,'-F+B+G+S,'-F+B+G+S+ivs
,,,,,,,,,,15.70782,,,,,,,,,
,,,,,,,,,,,14.12014,,,,,,,,
,,,,,1.061259,,,,,,,14.64058,,,,,,,
,,,,,,,,,,,,,,11.48778,,,,,9.132769
,,2.43558,,0.74897,2.019979,1.309806,1.953816,,,,,,11.90239,9.495535,,,,11.05273,11.3259
2.105424,,0.664272,1.488318,0.475807,1.351513,1.986133,2.110118,0.792318,0.566374,12.36409,14.04844,,11.74811,11.52108,,,,8.247408,7.483456
2.180977,,1.180737,4.185457,0.861134,4.313463,1.055603,,0.993651,0.691762,9.697834,19.11358,11.15137,14.34203,,,,15.56906,10.41518,
2.331709,,,4.167916,,7.877536,,4.090269,2.211341,0.485588,,,11.57028,,,,,15.6146,,
,,,3.139363,,,,,,,,,,8.531639,,,,12.93682,,
,,1.709383,2.947123,,,,,1.605125,,,,,,8.811356,,,,,
1.435449,,,,1.394117,1.774538,1.678598,1.121363,,,4.895061,,,,,,,12.24185,,
,,,,,,,,,1.12941,,,,7.309658,,,,,7.302342,
,,,1.147725,,,,,,,,,,,,,,,5.686327,
,0.872594,,,,,,,,,,,,,,12.50837,18.74715,,,
,1.170972,,,,,,,,,,,,,,13.48548,20.17513,,,
