mixture, b1, b2, b3, b4
1,70.20404,65.91977,58.33716,72.07599
2,100,100,100,100
3,133.4204,139.174,108.5302,155.7711
4,160.0049,208.8926,119.7552,175.9521
5,236.3024,193.7282,141.2849,252.2438
6,62.5047,68.07973,59.25336,85.23368
7,75.64502,144.6324,69.57222,100.2506
8,117.8083,140.5126,91.79865,138.1137
9,105.3691,144.5224,124.2281,162.261
10,210.1447,158.5006,122.7155,160.3495
11,84.77568,89.47736,93.76017,99.46343
12,89.43388,100.1454,95.28731,105.7695
13,186.8208,160.7859,144.6858,152.834
14,150.4983,171.4521,142.0612,166.2986
15,248.9343,205.8291,135.6535,181.551
16,70.93282,68.05104,82.31854,81.6399
17,94.61245,112.1447,99.76239,117.2601
18,134.819,126.0749,109.8333,105.9685
19,125.0536,152.4189,178.8006,167.5975
20,147.4294,180.8096,140.7957,159.9256
